year,length_min,count
1965,70,1
1965,80,2
1965,90,1
1965,100,1
1965,110,0
1965,120,0
1965,130,0
1965,140,0
1965,150,3
1965,160,18
1965,170,204
1965,180,241
1965,190,134
1965,200,31
1965,210,12
1965,220,12
1965,230,11
1965,240,15
1965,250,13
1965,260,10
1965,270,5
1965,280,4
1965,290,0
1965,300,0
1965,310,0
1965,320,0
1965,330,0
1965,340,0
1965,350,0
1967,70,0
1967,80,0
1967,90,0
1967,100,0
1967,110,0
1967,120,0
1967,130,0
1967,140,0
1967,150,0
1967,160,2
1967,170,4
1967,180,20
1967,190,43
1967,200,26
1967,210,6
1967,220,2
1967,230,1
1967,240,1
1967,250,2
1967,260,2
1967,270,6
1967,280,5
1967,290,6
1967,300,4
1967,310,0
1967,320,0
1967,330,0
1967,340,0
1967,350,0
1969,70,0
1969,80,0
1969,90,0
1969,100,0
1969,110,0
1969,120,0
1969,130,0
1969,140,3
1969,150,6
1969,160,3
1969,170,57
1969,180,359
1969,190,507
1969,200,207
1969,210,35
1969,220,13
1969,230,16
1969,240,28
1969,250,39
1969,260,39
1969,270,33
1969,280,26
1969,290,14
1969,300,12
1969,310,6
1969,320,4
1969,330,1
1969,340,0
1969,350,0
