length_min,year,count,,,,,,,year,length_min,count
70,1965,1,1967,0,1969,0,,,1965,70,1
80,,2,,0,,0,,,1965,80,2
90,,1,,0,,0,,,1965,90,1
100,,1,,0,,0,,,1965,100,1
110,,0,,0,,0,,,1965,110,0
120,,0,,0,,0,,,1965,120,0
130,,0,,0,,0,,,1965,130,0
140,,0,,0,,3,,,1965,140,0
150,,3,,0,,6,,,1965,150,3
160,,18,,2,,3,,,1965,160,18
170,,204,,4,,57,,,1965,170,204
180,,241,,20,,359,,,1965,180,241
190,,134,,43,,507,,,1965,190,134
200,,31,,26,,207,,,1965,200,31
210,,12,,6,,35,,,1965,210,12
220,,12,,2,,13,,,1965,220,12
230,,11,,1,,16,,,1965,230,11
240,,15,,1,,28,,,1965,240,15
250,,13,,2,,39,,,1965,250,13
260,,10,,2,,39,,,1965,260,10
270,,5,,6,,33,,,1965,270,5
280,,4,,5,,26,,,1965,280,4
290,,0,,6,,14,,,1965,290,0
300,,0,,4,,12,,,1965,300,0
310,,0,,0,,6,,,1965,310,0
320,,0,,0,,4,,,1965,320,0
330,,0,,0,,1,,,1965,330,0
340,,0,,0,,0,,,1965,340,0
350,,0,,0,,0,,,1965,350,0
,,,,,,,,,1967,70,0
,,,,,,,,,1967,80,0
,,,,,,,,,1967,90,0
,,,,,,,,,1967,100,0
,,,,,,,,,1967,110,0
,,,,,,,,,1967,120,0
,,,,,,,,,1967,130,0
,,,,,,,,,1967,140,0
,,,,,,,,,1967,150,0
,,,,,,,,,1967,160,2
,,,,,,,,,1967,170,4
,,,,,,,,,1967,180,20
,,,,,,,,,1967,190,43
,,,,,,,,,1967,200,26
,,,,,,,,,1967,210,6
,,,,,,,,,1967,220,2
,,,,,,,,,1967,230,1
,,,,,,,,,1967,240,1
,,,,,,,,,1967,250,2
,,,,,,,,,1967,260,2
,,,,,,,,,1967,270,6
,,,,,,,,,1967,280,5
,,,,,,,,,1967,290,6
,,,,,,,,,1967,300,4
,,,,,,,,,1967,310,0
,,,,,,,,,1967,320,0
,,,,,,,,,1967,330,0
,,,,,,,,,1967,340,0
,,,,,,,,,1967,350,0
,,,,,,,,,1969,70,0
,,,,,,,,,1969,80,0
,,,,,,,,,1969,90,0
,,,,,,,,,1969,100,0
,,,,,,,,,1969,110,0
,,,,,,,,,1969,120,0
,,,,,,,,,1969,130,0
,,,,,,,,,1969,140,3
,,,,,,,,,1969,150,6
,,,,,,,,,1969,160,3
,,,,,,,,,1969,170,57
,,,,,,,,,1969,180,359
,,,,,,,,,1969,190,507
,,,,,,,,,1969,200,207
,,,,,,,,,1969,210,35
,,,,,,,,,1969,220,13
,,,,,,,,,1969,230,16
,,,,,,,,,1969,240,28
,,,,,,,,,1969,250,39
,,,,,,,,,1969,260,39
,,,,,,,,,1969,270,33
,,,,,,,,,1969,280,26
,,,,,,,,,1969,290,14
,,,,,,,,,1969,300,12
,,,,,,,,,1969,310,6
,,,,,,,,,1969,320,4
,,,,,,,,,1969,330,1
,,,,,,,,,1969,340,0
,,,,,,,,,1969,350,0
