site,barcode,sdate,catch
BAR ISLAND,16005145,09/24/1999,2
,16000313,09/21/1993,25
BATH CHUTE,16003265,08/08/1997,27
BATH FIX,16005819,09/27/2000,3
WOODYARD,16004832,07/16/1999,5
TREADWAY,16012488,09/25/2015,1
BATH CHUTE,16008465,08/16/2006,5
PEORIA TWZ,16003420,09/10/1997,23
RM 125,16011362,10/17/2013,17
RM 81,16011733,08/25/2014,1
GRAND ISLAND,16007822,08/16/2004,5
CRANE LK,16005200,10/12/1999,18
,-1600745,09/16/1992,1
liverpool,16007395,09/19/2003,1
Bath Fixed,16007491,07/10/2003,1
BIG LAKE,16009908,08/11/2010,1
BATH CHUTE,16010402,08/15/2011,1
GOOSE LAKE,16006717,06/21/2002,3
RM 149,16013068,08/10/2017,1
,16000064,07/06/1993,25
MATANZAS,16004626,10/07/1998,2
LILLY LAKE,16010396,08/11/2011,1
COON HOLLOW,16001276,08/07/1995,1
BATH CHUTE,16012144,08/12/2015,1
CRANE LK,16004596,10/01/1998,3
LIVERPOOL D.,16006671,06/17/2002,1
LILLY LAKE,16008321,10/11/2005,2
TREADWAY,16013589,08/30/2018,5
Peoria TWZ,16012358,07/14/2015,12
TOWHEAD,16012944,10/04/2016,1
Peoria TWZ,16009295,08/11/2008,5
MATANZAS,16008103,08/11/2005,4
PEORIA TWZ,16002655,09/30/1996,1
GRAPE/BAR,16011607,09/26/2013,1
BAR ISLAND,16013637,09/19/2018,1
BAR ISLAND,16009974,10/11/2010,1
SUGAR CREEK,16006148,11/07/2001,12
BEARDSTOWN,16001361,08/25/1995,1
BATH CHUTE,16008884,08/29/2007,1
CHAIN LAKE,16008936,09/17/2007,1
CLEAR LAKE,16012691,09/22/2016,1
COON HOLLOW,16005139,09/23/1999,1
BATH CHUTE,16009036,10/12/2007,1
LILY MCRU,16005977,10/25/2000,17
BATH CHUTEFX,16006560,10/03/2001,7
Towhead Is,16007251,07/29/2003,1
Bath Chute,16008860,08/08/2007,1
LAGRANGE TWZ,16001414,09/05/1995,1
RM 127,16012352,07/13/2015,1
Stewart MC,16007311,09/08/2003,6
TOWHEAD IS,16005615,08/15/2000,44
BAR ISLAND,16008111,08/04/2005,1
,-1600557,07/09/1992,3
TOWHEAD,16007439,10/02/2003,2
,16000463,06/22/1994,4
CRANE LAKE,16002722,10/15/1996,2
BATH CHUTE,16013043,08/02/2017,1
MATANZASLAKE,16003114,07/17/1997,1
,16000542,07/11/1994,1
,-1600609,07/29/1992,2
BATH CHUTE,16012252,10/12/2015,1
LILY MCBU,16004880,07/27/1999,4
GRAPE ISLAND,16005754,09/14/2000,2
U BATH CHUTE,16002542,09/06/1996,1
MUSCOOTEN,16005440,07/17/2000,2
BATH CHUTE,16013221,06/15/2017,1
SUGAR CK IS,16010982,07/03/2012,2
CRYSTAL LAKE,16009494,08/03/2009,13
BATH CHUTE,16004761,06/22/1999,20
BATH CHUTE,16005554,08/03/2000,2
BATH FIXED,16006353,08/16/2001,116
,16000174,08/10/1993,3
Peoria TWZ,16008830,08/20/2007,5
TREADWAY,16008585,10/24/2006,1
TOWHEAD ISL,16001946,07/24/1996,1
GRAND ISLAND,16008191,09/22/2005,1
,16001023,10/25/1994,1
BATH CHUTE,16004154,09/03/1998,1
BATH CH FIX,16003934,07/08/1998,63
Liverpool,16007224,06/19/2003,1
BIG LAKE,16013494,06/28/2018,1
BATH CHUTE,16006240,08/06/2001,4
BATH CHUTE,16001254,08/04/1995,1
TOWHEAD,16013165,10/17/2017,1
WOOD SL,16005000,08/23/1999,15
MATANZAS,16011755,08/29/2014,2
TURKEY ISLAN,16011184,06/27/2013,5
Peoria,16007912,09/23/2004,1
peoria twz,16008222,10/04/2005,1
PEORIA TWZ,16004159,09/03/1998,3
Bath Fixed,16008540,10/06/2006,1
TREADWAY,16013097,09/06/2017,9
PEORIA TWZ,16007933,09/27/2004,1
BATH FIXED,16004861,07/22/1999,5
CHAIN LAKE,16009389,09/22/2008,1
BELOW LILLY,16010985,07/09/2012,13
BATH CHUTE,16009939,09/20/2010,1
fredrick mc,16007249,07/07/2003,4
MACKINAW MC,16008223,10/04/2005,1
RM 108,16013596,08/09/2018,4
FREDRICK MC,16011449,07/18/2013,6
TOWHEAD,16012259,10/23/2015,1
Powerton MC,16009981,10/20/2010,1
CRANE LAKE,16005872,10/10/2000,3
U BATH CHUTE,16002543,09/06/1996,1
Bath Fixed,16012250,10/12/2015,1
RM 147,16013688,09/28/2018,1
CRANE LAKE,16009314,08/14/2008,1
Peoria TWZ,16009209,10/27/2008,1
LAGRANGE TWZ,16001314,08/15/1995,1
U TREADWAY,16003669,10/14/1997,1
,16000099,07/13/1993,37
RM 154.5,16012310,06/17/2015,1
COON HOLLOW,16008210,09/29/2005,1
MATANZAS,16011755,08/29/2014,1
TREADWAY,16007895,09/20/2004,1
LILLY LAKE,16010396,08/11/2011,1
Kingston Min,16010682,06/15/2012,1
Bath Chute,16007345,08/15/2003,1
MATANZAS,16008792,08/10/2007,1
QUIVER LAKE,16001623,10/25/1995,1
KINGSTON,16003346,08/26/1997,163
Peoria TWZ,16010384,08/09/2011,1
DUCK ISLAND,16010677,10/26/2011,1
COPPERAS CRK,16005014,08/27/1999,95
ANDERSONMC,16006476,09/18/2001,2
TOWHEAD,16009048,09/26/2007,1
Peoria TWZ,16010689,06/18/2012,1
BIG PRAIRIE,16005511,07/27/2000,4
FREDERICK,16008615,09/21/2006,1
PEKIN LAKE,16003323,08/21/1997,10
RM 132,16011314,09/19/2013,16
