site,year,catch,electrofish
LaGrange,1993,4115,3993
LaGrange,1994,1927,1227
LaGrange,1995,31532,15597
LaGrange,1996,51424,16883
LaGrange,1997,108291,48608
LaGrange,1998,21994,13466
LaGrange,1999,14753,9705
LaGrange,2000,9648,6615
LaGrange,2001,15395,7795
LaGrange,2002,53861,19787
LaGrange,2003,8461,5178
LaGrange,2004,25491,11573
LaGrange,2005,4695,4077
LaGrange,2006,13149,1658
LaGrange,2007,42514,25171
LaGrange,2008,20598,11059
LaGrange,2009,896,790
LaGrange,2010,7778,7109
LaGrange,2011,13772,2089
LaGrange,2012,22497,3655
LaGrange,2013,19229,16887
LaGrange,2014,11303,8361
LaGrange,2015,6789,6528
LaGrange,2016,6037,2338
LaGrange,2017,14323,6849
LaGrange,2018,9383,1487
Pool26,1993,4822,4137
Pool26,1994,2216,2143
Pool26,1995,9537,7620
Pool26,1996,5579,5064
Pool26,1997,9673,4028
Pool26,1998,8300,8109
Pool26,1999,12005,4776
Pool26,2000,3063,2947
Pool26,2001,2000,1968
Pool26,2002,33387,8435
Pool26,2003,2199,1963
Pool26,2004,5396,5101
Pool26,2005,1830,1814
Pool26,2006,2822,2748
Pool26,2007,5053,4304
Pool26,2008,23602,10024
Pool26,2009,3314,2514
Pool26,2010,2207,2069
Pool26,2011,2252,2112
Pool26,2012,1394,1370
Pool26,2013,13239,10351
Pool26,2014,3908,3713
Pool26,2015,4020,3337
Pool26,2016,4151,1012
Pool26,2017,5750,2878
Pool26,2018,7510,6954
Jackson,1993,809,676
